archivo,tiempo_combate,puntaje_A,puntaje_O,var_puntaje_A,var_puntaje_O,mantencion_A,mantencion_O,efectividad_A,efectividad_O
registro_bjj_20251212_112513.csv,372,7,17,9.015151515151516,34.15584415584416,9.818181818181818,9.545454545454545,18.181818181818183,27.27272727272727
registro_bjj_20251212_112602.csv,168,10,0,11.111111111111112,0.0,15.25,9.0,25.0,0.0
registro_bjj_20251212_112613.csv,68,0,0,0.0,0.0,6.0,10.666666666666666,0.0,66.66666666666666
registro_bjj_20251212_112722.csv,132,0,6,0.0,10.285714285714286,8.8,10.0,40.0,66.66666666666666
registro_bjj_20251212_112732.csv,73,0,12,0.0,12.25,0.0,11.0,0.0,100.0
registro_bjj_20251212_112750.csv,61,6,0,9.0,0.0,8.0,0.0,100.0,0.0
registro_bjj_20251212_112809.csv,74,0,0,0.0,0.0,9.0,11.0,100.0,0.0
registro_bjj_20251212_112818.csv,193,15,0,19.230769230769234,0.0,8.2,9.0,30.0,0.0
registro_bjj_20251212_112931.csv,368,15,20,50.05263157894737,37.42690058479533,10.0,11.846153846153847,33.33333333333333,23.076923076923077
registro_bjj_20251212_113000.csv,155,10,0,0.0,0.0,11.857142857142858,8.0,42.857142857142854,0.0
