archivo,tiempo_combate,puntaje_A,puntaje_O,var_puntaje_A,var_puntaje_O,mantencion_A,mantencion_O,efectividad_A,efectividad_O
registro_bjj_20251211_220238.csv,189,10,21,10.0,56.89999999999999,11.0,13.0,33.33333333333333,75.0
registro_bjj_20251211_224826.csv,99,15,0,42.5,0.0,11.666666666666666,11.5,66.66666666666666,0.0
registro_bjj_20251211_224926.csv,75,10,0,20.0,0.0,7.5,10.0,75.0,0.0
registro_bjj_20251211_224953.csv,144,17,6,38.69642857142857,7.714285714285714,14.0,9.2,100.0,60.0
registro_bjj_20251211_225031.csv,258,16,18,34.99450549450549,32.439560439560445,9.166666666666666,12.0,50.0,50.0
registro_bjj_20251211_225102.csv,86,0,5,0.0,7.5,10.0,11.333333333333334,0.0,66.66666666666666
registro_bjj_20251211_225118.csv,137,7,6,0.0,4.5,12.2,6.666666666666667,40.0,33.33333333333333
registro_bjj_20251211_225135.csv,86,0,17,0.0,36.800000000000004,9.5,11.0,50.0,100.0
registro_bjj_20251211_225202.csv,50,0,0,0.0,0.0,10.666666666666666,0.0,100.0,0.0
registro_bjj_20251211_225524.csv,103,27,0,36.8,0.0,14.25,5.0,75.0,0.0
registro_bjj_20251211_225552.csv,243,0,0,0.0,0.0,13.0,10.0,22.22222222222222,0.0
